timestamp,model,enforce_eager,tensor_parallel_size,gpu_memory_utilization,max_model_len,prompt_len,output_len,concurrency,trial_index,batch_composition_json,total_output_tokens,wall_s,tok_s
2026-07-31T14:04:15,tests/fake_qwen35_small,True,1,0.2,512,32,64,1,0,[64],64,1.6540342571679503,38.693273565918325
2026-07-31T14:04:16,tests/fake_qwen35_small,True,1,0.2,512,32,64,1,1,[64],64,1.6558343949727714,38.65120823332844
2026-07-31T14:04:18,tests/fake_qwen35_small,True,1,0.2,512,32,64,1,2,[64],64,1.6622813970316201,38.50130315738749
2026-07-31T14:04:20,tests/fake_qwen35_small,True,1,0.2,512,32,64,1,3,[64],64,1.6768022251781076,38.16788828104162
2026-07-31T14:04:21,tests/fake_qwen35_small,True,1,0.2,512,32,64,1,4,[64],64,1.6582891989964992,38.59399195190387
2026-07-31T14:04:28,tests/fake_qwen35_small,True,1,0.2,512,32,64,2,0,"[64, 64]",128,2.231031717034057,57.37255953051342
2026-07-31T14:04:30,tests/fake_qwen35_small,True,1,0.2,512,32,64,2,1,"[64, 64]",128,2.265465338015929,56.50053340127511
2026-07-31T14:04:33,tests/fake_qwen35_small,True,1,0.2,512,32,64,2,2,"[64, 64]",128,2.222671684110537,57.588352303692886
2026-07-31T14:04:35,tests/fake_qwen35_small,True,1,0.2,512,32,64,2,3,"[64, 64]",128,2.258771166903898,56.66798030517179
2026-07-31T14:04:37,tests/fake_qwen35_small,True,1,0.2,512,32,64,2,4,"[64, 64]",128,2.235165337100625,57.26645714989341
2026-07-31T14:04:47,tests/fake_qwen35_small,True,1,0.2,512,32,64,4,0,"[64, 64, 64, 64]",256,3.3581066839396954,76.23343273289444
2026-07-31T14:04:51,tests/fake_qwen35_small,True,1,0.2,512,32,64,4,1,"[64, 64, 64, 64]",256,3.3982453108765185,75.33299587897298
2026-07-31T14:04:54,tests/fake_qwen35_small,True,1,0.2,512,32,64,4,2,"[64, 64, 64, 64]",256,3.3946455309633166,75.41288115797867
2026-07-31T14:04:58,tests/fake_qwen35_small,True,1,0.2,512,32,64,4,3,"[64, 64, 64, 64]",256,3.348668044898659,76.44830618251005
2026-07-31T14:05:01,tests/fake_qwen35_small,True,1,0.2,512,32,64,4,4,"[64, 64, 64, 64]",256,3.417739377124235,74.90331232201922
